"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Score","%D","ADP","Ros","AB","H","R","HR","RBI","SB","OBP","SLG","GP"
"*026qc*","Joc Pederson","TEX","OF,UT","362","FA","32","BOS Thu 1:05PM","59.51","92%","299.38","83%","363","95","63","27","65","3",".375",".540","105"
"*04eig*","Jose Caballero","TB","2B,3B,SS","295","FA","28","","64.84","94%","300.06","80%","469","101","62","10","50","45",".308",".330","138"
"*04pqq*","Matt Vierling","DET","3B,OF","388","FA","28","@LAD Thu 4:10PM","56.75","95%","305.1","75%","482","125","70","13","50","9",".324",".411","128"
"*04tjl*","Otto Lopez","MIA","2B,OF","531","FA","26","PIT Thu 1:10PM","48.51","83%","308.74","56%","428","112","51","5","39","16",".316",".362","122"
"*027fx*","Jeimer Candelario","CIN","1B,3B","386","FA","31","SF Thu 1:10PM","56.81","88%","311.37","73%","443","103","58","20","60","4",".300",".438","122"
"*041q8*","Brandon Marsh","PHI","OF","428","FA","27","@WSH Thu 1:05PM","54.15","87%","311.46","72%","398","99","53","14","57","12",".333",".427","113"
"*04aee*","Jo Adell","LAA","OF","409","FA","25","@CHW Thu 1:10PM","55.47","89%","313.35","72%","403","86","52","19","55","14",".292",".407","113"
"*041ai*","Gavin Lux","CIN","2B","473","FA","27","SF Thu 1:10PM","51.79","85%","314.72","75%","425","113","62","11","49","6",".340",".409","113"
"*04qnd*","Noelvi Marte","CIN","3B","573","FA","23","SF Thu 1:10PM","45.35","83%","315.89","80%","357","85","44","9","35","14",".303",".364","97"
"*04efa*","Daulton Varsho","TOR","OF","398","FA","28","BAL Thu 12:07PM","56.19","88%","316.68","73%","428","92","64","17","54","12",".291",".397","113"
"*04ai4*","Nolan Gorman","STL","2B","274","FA","24","MIN Thu 1:15PM","66.03","90%","318.58","89%","492","110","65","29","74","6",".299",".441","133"
"*04hyc*","Ivan Herrera","STL","C","483","FA","24","MIN Thu 1:15PM","51.32","88%","319.32","73%","340","95","59","7","43","8",".389",".397","97"
"*06f0q*","Kristian Campbell","BOS","2B,SS,OF","993","FA","22","@TEX Thu 1:05PM","21.84","85%","319.59","95%","105","28","16","3","12","5",".379",".438","32"
"*041ts*","Luke Raley","SEA","1B,OF","401","FA","30","ATH Thu 7:10PM","56.05","91%","319.77","69%","395","95","55","20","53","11",".324",".456","105"
